"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","546","Attempt to create user with email: mail.ru","LMS service","Sat Dec 20 18:19:57 UTC 2025","passed","Sat Dec 20 18:19:57 UTC 2025","Create entity","Users","",""
"","267","Create file","LMS service","Sat Dec 20 18:19:54 UTC 2025","passed","Sat Dec 20 18:19:54 UTC 2025","Create entity","Files","",""
"","289","Delete exercise","LMS service","Sat Dec 20 18:19:53 UTC 2025","passed","Sat Dec 20 18:19:53 UTC 2025","Delete entity","Exercises","",""
"","17","Get file","LMS service","Sat Dec 20 18:19:55 UTC 2025","passed","Sat Dec 20 18:19:55 UTC 2025","Get entity","Files","",""
"","17","Get exercises","LMS service","Sat Dec 20 18:19:54 UTC 2025","passed","Sat Dec 20 18:19:54 UTC 2025","Get entities","Exercises","",""
"","14","Get exercise","LMS service","Sat Dec 20 18:19:52 UTC 2025","passed","Sat Dec 20 18:19:52 UTC 2025","Get entity","Exercises","",""
"","290","Update exercise","LMS service","Sat Dec 20 18:19:52 UTC 2025","passed","Sat Dec 20 18:19:52 UTC 2025","Update entity","Exercises","",""
"","554","Login with correct email and password","LMS service","Sat Dec 20 18:19:49 UTC 2025","passed","Sat Dec 20 18:19:49 UTC 2025","Login","Authentication","",""
"","299","Update course","LMS service","Sat Dec 20 18:19:49 UTC 2025","passed","Sat Dec 20 18:19:49 UTC 2025","Update entity","Courses","",""
"","263","Get file with incorrect file id","LMS service","Sat Dec 20 18:19:57 UTC 2025","passed","Sat Dec 20 18:19:57 UTC 2025","Validate entity","Files","",""
"","20","Create exercise","LMS service","Sat Dec 20 18:19:51 UTC 2025","passed","Sat Dec 20 18:19:51 UTC 2025","Create entity","Exercises","",""
"","28","Create course","LMS service","Sat Dec 20 18:19:51 UTC 2025","passed","Sat Dec 20 18:19:51 UTC 2025","Create entity","Courses","",""
"","19","Delete file","LMS service","Sat Dec 20 18:19:55 UTC 2025","passed","Sat Dec 20 18:19:55 UTC 2025","Delete entity","Files","",""
"","556","Attempt to create user with email: gmail.com","LMS service","Sat Dec 20 18:19:57 UTC 2025","passed","Sat Dec 20 18:19:58 UTC 2025","Create entity","Users","",""
"","261","Create file with empty directory","LMS service","Sat Dec 20 18:19:56 UTC 2025","passed","Sat Dec 20 18:19:57 UTC 2025","Validate entity","Files","",""
"","259","Create file with empty filename","LMS service","Sat Dec 20 18:19:56 UTC 2025","passed","Sat Dec 20 18:19:56 UTC 2025","Validate entity","Files","",""
"","22","Get courses","LMS service","Sat Dec 20 18:19:50 UTC 2025","passed","Sat Dec 20 18:19:50 UTC 2025","Get entities","Courses","",""
"","288","Attempt to create user with email: example.com","LMS service","Sat Dec 20 18:19:57 UTC 2025","passed","Sat Dec 20 18:19:58 UTC 2025","Create entity","Users","",""
"","12","Get user me","LMS service","Sat Dec 20 18:19:58 UTC 2025","passed","Sat Dec 20 18:19:58 UTC 2025","Get entity","Users","",""
